epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,221.643,0.84011,0.43511,0.82806,0.17677,0.69425,0.19033,0.07583,2.28508,3.72485,1.08126,0.000439437,0.000439437,0.000439437
133,223.236,0.87611,0.43684,0.8336,0.18078,0.68962,0.18678,0.07504,2.27395,3.80284,1.08691,0.00043325,0.00043325,0.00043325
134,224.83,0.85643,0.43007,0.82578,0.18549,0.64795,0.18979,0.07432,2.28879,3.8399,1.09706,0.000427062,0.000427062,0.000427062
135,226.439,0.81547,0.42448,0.83088,0.18464,0.66415,0.19135,0.07719,2.21287,3.70843,1.07611,0.000420875,0.000420875,0.000420875
136,228.048,0.85865,0.43129,0.83673,0.19295,0.69641,0.2036,0.08508,2.16139,3.6376,1.06451,0.000414688,0.000414688,0.000414688
137,229.625,0.87102,0.4278,0.83011,0.19335,0.72897,0.20315,0.08128,2.17101,3.59867,1.06579,0.0004085,0.0004085,0.0004085
138,231.266,0.861,0.42668,0.83281,0.18998,0.68051,0.19696,0.0766,2.16767,3.58582,1.06066,0.000402312,0.000402312,0.000402312
139,232.906,0.80093,0.41217,0.83417,0.18849,0.69888,0.19812,0.07539,2.18537,3.53759,1.06175,0.000396125,0.000396125,0.000396125
140,234.57,0.80604,0.40959,0.82651,0.17956,0.70843,0.19091,0.07232,2.168,3.47418,1.06064,0.000389938,0.000389938,0.000389938
141,236.179,0.82769,0.41859,0.83262,0.17909,0.69917,0.18946,0.07391,2.1476,3.47256,1.05491,0.00038375,0.00038375,0.00038375
142,237.819,0.80526,0.4214,0.8201,0.18724,0.65288,0.1883,0.07623,2.13166,3.54341,1.04896,0.000377563,0.000377563,0.000377563
143,239.491,0.8231,0.42067,0.82297,0.19727,0.63869,0.18648,0.07459,2.15224,3.59274,1.06201,0.000371375,0.000371375,0.000371375
144,241.162,0.86541,0.43406,0.83186,0.20015,0.61786,0.18121,0.07471,2.1644,3.65062,1.06055,0.000365188,0.000365188,0.000365188
145,242.755,0.83729,0.42793,0.82738,0.20607,0.63638,0.19128,0.07841,2.15444,3.53443,1.05258,0.000359,0.000359,0.000359
146,244.396,0.80678,0.4084,0.82873,0.19605,0.6316,0.20261,0.08076,2.15176,3.35289,1.0557,0.000352812,0.000352812,0.000352812
147,246.005,0.79482,0.40608,0.81976,0.19509,0.6808,0.21923,0.08457,2.16042,3.25419,1.06586,0.000346625,0.000346625,0.000346625
148,247.629,0.81963,0.41055,0.8262,0.19814,0.63682,0.22174,0.08575,2.19814,3.1947,1.06928,0.000340438,0.000340438,0.000340438
149,249.254,0.7973,0.41186,0.8375,0.19262,0.61338,0.21736,0.08352,2.22407,3.22468,1.07517,0.00033425,0.00033425,0.00033425
150,250.926,0.80489,0.41539,0.82027,0.19775,0.66214,0.22434,0.08322,2.22697,3.26295,1.08095,0.000328063,0.000328063,0.000328063
151,252.566,0.8007,0.40944,0.8192,0.18541,0.60151,0.20953,0.07956,2.21605,3.33183,1.07833,0.000321875,0.000321875,0.000321875
